2018-19 Attendance (District)  - All Students,,,,,,
District Name,District Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days
Abby Kelley Foster Charter Public (District),04450000,  97.2,   5.1,  16.0,   2.2,  16.0
Abington,00010000,  94.5,   9.5,  36.8,  13.3,  21.7
Academy Of the Pacific Rim Charter Public (District),04120000,  93.9,  11.0,  44.7,  17.5,  29.4
Acton-Boxborough,06000000,  96.5,   6.1,  19.7,   4.2,   0.1
Acushnet,00030000,  95.7,   7.5,  27.8,   5.6,  17.9
Adams-Cheshire,06030000,  94.6,   9.2,  36.9,  13.2,  29.2
Advanced Math and Science Academy Charter (District),04300000,  96.1,   6.9,  25.2,   4.1,  11.9
Agawam,00050000,  96.5,   6.1,  19.4,   4.4,  19.3
Alma del Mar Charter School (District),04090000,  95.5,   8.2,  35.8,   7.5,  18.8
Amesbury,00070000,  94.9,   8.9,  33.5,  10.8,   4.8
Amherst,00080000,  95.2,   8.2,  30.3,  10.5,   6.0
Amherst-Pelham,06050000,  93.5,  11.3,  36.5,  16.5,  12.2
Andover,00090000,  96.0,   7.0,  23.6,   6.0,   2.7
Argosy Collegiate Charter School (District),35090000,  94.7,   9.2,  37.9,  11.5,  24.7
Arlington,00100000,  95.6,   7.7,  26.9,   7.8,   4.9
Ashburnham-Westminster,06100000,  96.1,   6.8,  22.8,   4.9,  18.9
Ashland,00140000,  95.9,   7.1,  23.8,   7.1,   5.0
Assabet Valley Regional Vocational Technical,08010000,  95.1,   8.6,  29.8,  10.6,  20.1
Athol-Royalston,06150000,  93.8,  10.5,  41.1,  15.8,  27.1
Atlantis Charter (District),04910000,  93.6,  11.6,  43.8,  17.8,  26.5
Attleboro,00160000,  94.6,   9.3,  34.3,  13.8,  18.8
Auburn,00170000,  95.3,   8.2,  29.5,   9.5,   0.5
Avon,00180000,  95.1,   8.4,  32.4,  12.9,  20.5
Ayer Shirley School District,06160000,  95.4,   8.1,  29.2,   8.2,  18.0
Barnstable,00200000,  94.5,   9.4,  38.6,  13.5,  24.7
Barnstable Community Horace Mann Charter Public (District),04270000,  94.5,   9.8,  44.5,  11.4,  40.7
Baystate Academy Charter Public School (District),35020000,  93.7,  11.2,  44.9,  18.2,  34.4
Bedford,00230000,  95.7,   7.5,  25.3,   7.2,   2.4
Belchertown,00240000,  95.0,   8.7,  31.9,  10.9,  20.6
Bellingham,00250000,  94.8,   9.2,  34.0,  12.5,  23.8
Belmont,00260000,  96.7,   5.8,  18.5,   4.4,   4.6
Benjamin Banneker Charter Public (District),04200000,  95.3,   8.5,  33.1,  11.9,   0.0
Benjamin Franklin Classical Charter Public (District),04470000,  95.8,   7.4,  29.3,   4.8,  29.1
Bentley Academy Charter School (District),35110000,  94.8,   9.6,  40.7,  12.8,  22.7
Berkley,00270000,  96.1,   6.9,  24.5,   4.1,  20.1
Berkshire Arts and Technology Charter Public (District),04140000,  94.0,  10.6,  42.2,  15.3,  31.1
Berkshire Hills,06180000,  94.0,  10.5,  40.5,  17.2,   2.6
Berlin,00280000,  96.1,   6.6,  21.8,   1.6,   4.1
Berlin-Boylston,06200000,  96.1,   7.0,  23.7,   4.7,   0.8
Beverly,00300000,  94.8,   9.0,  30.5,  12.2,  19.2
Billerica,00310000,  95.9,   7.2,  23.3,   7.3,  14.4
Blackstone Valley Regional Vocational Technical,08050000,  96.1,   7.2,  25.3,   6.2,   6.8
Blackstone-Millville,06220000,  94.7,   9.2,  35.9,  12.5,  11.9
Blue Hills Regional Vocational Technical,08060000,  94.8,   9.2,  42.8,   6.1,  42.3
Boston,00350000,  91.9,  13.9,  47.2,  25.2,  31.8
Boston Collegiate Charter (District),04490000,  94.8,   9.5,  40.3,   9.3,  18.8
Boston Day and Evening Academy Charter (District),04240000,  56.7,  55.8,  92.3,  92.9,   0.0
Boston Green Academy Horace Mann Charter School (District),04110000,  90.1,  17.2,  60.9,  34.2,  51.4
Boston Preparatory Charter Public (District),04160000,  92.5,  13.9,  53.3,  23.5,  45.0
Boston Renaissance Charter Public (District),04810000,  93.7,  11.1,  46.4,  19.7,  24.1
Bourne,00360000,  94.5,   9.4,  38.1,  12.9,  18.3
Boxford,00380000,  96.3,   6.6,  23.9,   2.9,  23.1
Boylston,00390000,  96.6,   5.8,  21.8,   2.9,  17.3
Braintree,00400000,  95.6,   7.8,  28.0,   9.4,   0.0
Brewster,00410000,  95.0,   8.8,  36.8,   9.5,   5.8
Bridge Boston Charter School (District),04170000,  94.3,  10.3,  39.7,  14.6,  26.5
Bridgewater-Raynham,06250000,  95.6,   7.6,  27.5,   6.3,   0.0
Brimfield,00430000,  96.6,   6.0,  22.0,   3.6,  22.0
Bristol County Agricultural,09100000,  95.5,   7.9,  29.7,   8.6,  11.2
Bristol-Plymouth Regional Vocational Technical,08100000,  95.3,   8.2,  29.7,   9.0,  21.1
Brockton,00440000,  93.4,  11.1,  41.7,  21.2,   0.0
Brooke Charter School (District),04280000,  95.5,   8.4,  32.7,   7.9,  21.0
Brookfield,00450000,  96.0,   7.0,  26.3,   5.2,   8.3
Brookline,00460000,  95.7,   7.5,  25.5,   8.1,  11.4
Burlington,00480000,  95.4,   8.0,  26.8,   9.2,   7.5
Cambridge,00490000,  93.7,  10.9,  39.1,  17.6,   9.4
Canton,00500000,  95.8,   7.5,  25.7,   6.6,   5.7
Cape Cod Lighthouse Charter (District),04320000,  93.9,  10.8,  40.9,  13.0,  13.4
Cape Cod Regional Vocational Technical,08150000,  95.3,   8.1,  29.1,  10.6,   7.5
Carlisle,00510000,  96.0,   7.2,  23.4,   5.3,   2.3
Carver,00520000,  95.8,   7.4,  28.2,   5.9,  24.1
Central Berkshire,06350000,  95.2,   8.4,  31.0,   9.0,  24.9
Chelmsford,00560000,  95.9,   7.5,  26.8,   7.1,   6.3
Chelsea,00570000,  93.0,  11.8,  40.1,  19.6,  36.1
Chesterfield-Goshen,06320000,  96.0,   7.1,  29.0,   2.3,   0.8
Chicopee,00610000,  93.8,  10.7,  42.3,  18.2,  34.2
Christa McAuliffe Charter Public (District),04180000,  95.7,   7.6,  28.8,   7.7,  22.1
City on a Hill Charter Public School Circuit Street (District),04370000,  88.3,  19.1,  73.0,  50.4,  17.3
City on a Hill Charter Public School Dudley Square (District),35040000,  90.0,  17.3,  55.0,  32.7,  33.1
City on a Hill Charter Public School New Bedford (District),35070000,  88.0,  19.6,  63.0,  40.5,  53.7
Clarksburg,00630000,  95.3,   8.2,  31.9,   8.4,   4.2
Clinton,00640000,  94.4,   9.6,  39.1,  16.1,   0.1
Codman Academy Charter Public (District),04380000,  94.9,   9.9,  42.7,   9.6,  34.2
Cohasset,00650000,  95.1,   8.8,  34.9,   8.3,  18.3
Collegiate Charter School of Lowell (District),35030000,  97.1,   5.2,  15.8,   4.4,   6.0
Community Charter School of Cambridge (District),04360000,  95.7,   7.5,  31.2,   6.5,   5.3
Community Day Charter Public School - Gateway (District),04260000,  96.1,   7.4,  28.1,   5.5,   0.0
Community Day Charter Public School - Prospect (District),04400000,  95.8,   8.0,  32.7,   6.7,   0.0
Community Day Charter Public School - R. Kingman Webster (District),04310000,  95.8,   7.9,  33.3,   5.8,   0.0
Concord,00670000,  96.3,   6.6,  21.0,   4.2,   3.3
Concord-Carlisle,06400000,  95.1,   8.7,  31.6,  11.3,   0.5
Conservatory Lab Charter (District),04390000,  94.1,   9.2,  35.5,  16.4,  22.4
Conway,00680000,  96.3,   7.0,  25.9,   3.0,  22.2
Danvers,00710000,  94.9,   9.0,  34.2,  12.1,   2.9
Dartmouth,00720000,  95.8,   7.3,  23.2,   7.0,  13.6
Dedham,00730000,  94.9,   8.8,  32.3,  10.9,  10.7
Deerfield,00740000,  95.1,   9.0,  33.3,   8.8,   3.3
Dennis-Yarmouth,06450000,  93.8,  10.4,  37.7,  17.2,  18.0
Dighton-Rehoboth,06500000,  95.0,   8.8,  32.1,  10.1,  23.6
Douglas,00770000,  94.8,   8.9,  33.5,  10.4,  17.0
Dover,00780000,  95.5,   7.9,  30.3,   5.8,  25.4
Dover-Sherborn,06550000,  96.2,   6.8,  23.1,   4.6,  17.1
Dracut,00790000,  95.6,   9.0,  34.2,   6.8,  31.8
Dudley Street Neighborhood Charter School (District),04070000,  93.9,  10.4,  45.3,  18.6,  32.5
Dudley-Charlton Reg,06580000,  95.8,   7.3,  25.4,   6.6,  17.1
Duxbury,00820000,  95.7,   7.6,  23.1,   5.0,   8.4
East Bridgewater,00830000,  95.1,   8.7,  32.2,   9.4,  22.1
East Longmeadow,00870000,  95.4,   8.2,  30.3,   8.3,   0.0
Eastham,00850000,  93.2,  11.4,  52.2,  19.6,  14.7
Easthampton,00860000,  94.5,   9.6,  36.1,  13.6,  10.3
Easton,00880000,  95.4,   8.0,  28.6,   7.8,   4.6
Edgartown,00890000,  94.5,   9.1,  43.5,  12.3,   9.3
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,  92.0,  13.9,  55.1,  30.5,  22.6
Erving,00910000,  94.6,   9.5,  26.5,  12.1,   9.1
Essex North Shore Agricultural and Technical School District,08170000,  95.1,   8.6,  30.7,  11.5,  20.6
Everett,00930000,  93.0,  12.2,  44.5,  20.8,  39.0
Excel Academy Charter (District),04100000,  93.7,  11.4,  45.4,  19.5,   3.5
Fairhaven,00940000,  95.4,   8.1,  26.6,   8.6,  12.2
Fall River,00950000,  92.4,  12.8,  51.4,  24.9,  38.7
Falmouth,00960000,  94.1,  10.3,  41.6,  14.4,  27.7
Farmington River Reg,06620000,  94.3,   9.5,  37.6,  12.0,   5.6
Fitchburg,00970000,  93.0,  11.6,  46.7,  23.3,  29.7
Florida,00980000,  94.7,   9.1,  35.2,   8.8,   0.0
Four Rivers Charter Public (District),04130000,  94.0,  10.4,  45.3,  17.8,   0.9
Foxborough,00990000,  95.8,   7.4,  24.8,   6.7,   0.0
Foxborough Regional Charter (District),04460000,  95.9,   7.3,  25.7,   7.9,  18.9
Framingham,01000000,  94.4,   9.5,  33.6,  14.4,  18.8
Francis W. Parker Charter Essential (District),04780000,  95.0,   8.9,  35.9,   9.5,   0.0
Franklin,01010000,  95.6,   7.8,  28.1,   7.4,  13.3
Franklin County Regional Vocational Technical,08180000,  92.7,  12.7,  54.6,  25.9,  10.6
Freetown-Lakeville,06650000,  95.7,   7.6,  26.7,   8.2,   4.7
Frontier,06700000,  94.0,  10.7,  38.5,  11.6,   1.5
Gardner,01030000,  93.0,  11.9,  45.3,  22.3,  38.4
Gateway,06720000,  94.6,   9.2,  35.6,  12.6,  26.7
Georgetown,01050000,  95.5,   7.8,  27.5,   7.3,   0.9
Gill-Montague,06740000,  93.9,  10.5,  38.6,  17.3,  16.7
Global Learning Charter Public (District),04960000,  96.5,   6.3,  19.0,   4.5,   6.1
Gloucester,01070000,  93.7,  10.9,  40.6,  17.1,  35.5
Gosnold,01090000,,,,,
Grafton,01100000,  95.2,   8.3,  29.8,   8.9,  19.9
Granby,01110000,  96.0,   7.0,  21.0,   4.9,  14.0
Greater Fall River Regional Vocational Technical,08210000,  96.2,   6.6,  23.6,   4.8,   1.6
Greater Lawrence Regional Vocational Technical,08230000,  95.4,   8.1,  32.6,   9.6,  32.6
Greater Lowell Regional Vocational Technical,08280000,  94.9,   9.3,  34.7,  11.2,  18.8
Greater New Bedford Regional Vocational Technical,08250000,  96.4,   6.4,  21.1,   7.2,  11.9
Greenfield,01140000,  93.2,  11.7,  46.0,  22.4,  40.2
Greenfield Commonwealth Virtual District,39010000,  90.1,  13.8,  43.9,  36.9,   3.9
Groton-Dunstable,06730000,  96.3,   6.6,  22.5,   4.2,  11.0
Hadley,01170000,  95.2,   8.3,  29.7,  11.3,   2.3
Halifax,01180000,  95.9,   7.2,  27.0,   6.0,  23.7
Hamilton-Wenham,06750000,  95.8,   7.5,  24.7,   5.6,   5.3
Hampden Charter School of Science East (District),04990000,  95.4,   8.0,  29.7,  10.8,   1.9
Hampden Charter School of Science West (District),35160000,  95.3,   7.3,  22.9,  11.0,   8.2
Hampden-Wilbraham,06800000,  95.2,   8.4,  30.5,   8.8,   0.0
Hampshire,06830000,  94.6,   9.5,  39.2,  12.5,   0.0
Hancock,01210000,  97.1,   4.7,  13.3,   4.4,   0.0
Hanover,01220000,  95.4,   8.2,  28.9,   6.9,  19.3
Harvard,01250000,  95.9,   7.3,  26.9,   6.9,   0.0
Hatfield,01270000,  95.8,   7.3,  25.2,   6.1,   0.4
Haverhill,01280000,  93.3,  11.5,  41.7,  20.3,  35.8
Hawlemont,06850000,  93.7,  11.0,  39.5,  18.5,  38.9
Helen Y. Davis Leadership Academy Charter Public (District),04190000,  96.8,   5.5,  15.4,   7.0,   3.3
Hill View Montessori Charter Public (District),04550000,  96.0,   7.1,  27.8,   3.6,   4.9
Hilltown Cooperative Charter Public (District),04500000,  95.9,   7.4,  26.1,   5.0,   4.6
Hingham,01310000,  95.7,   7.6,  26.7,   5.5,   9.7
Holbrook,01330000,  95.0,   8.6,  32.3,  12.2,  20.3
Holland,01350000,  95.9,   7.2,  28.0,   6.8,   0.4
Holliston,01360000,  95.6,   7.8,  26.5,   7.3,   0.0
Holyoke,01370000,  91.8,  13.4,  49.5,  25.7,  35.9
Holyoke Community Charter (District),04530000,  95.8,   7.5,  25.0,   6.1,   4.6
Hopedale,01380000,  95.8,   7.5,  24.7,   6.6,  14.2
Hopkinton,01390000,  96.0,   7.1,  23.1,   6.0,   4.1
Hudson,01410000,  94.8,   9.0,  31.5,  12.1,  17.3
Hull,01420000,  93.6,  11.3,  42.3,  16.4,  33.0
Innovation Academy Charter (District),04350000,  95.7,   7.7,  26.5,   7.2,   9.7
Ipswich,01440000,  96.0,   7.0,  23.6,   5.4,   4.5
KIPP Academy Boston Charter School (District),04630000,  94.0,  10.8,  44.9,  17.2,  21.3
KIPP Academy Lynn Charter (District),04290000,  95.2,   8.8,  33.1,  10.9,   4.1
King Philip,06900000,  95.0,   8.8,  31.7,  10.0,  18.4
Kingston,01450000,  95.5,   7.9,  30.0,   7.2,   5.5
Lawrence,01490000,  92.4,  12.7,  47.0,  23.9,   7.1
Lawrence Family Development Charter (District),04540000,  97.8,   3.9,   8.5,   1.2,   1.4
Lee,01500000,  94.7,   9.3,  35.3,  14.8,   4.0
Leicester,01510000,  95.2,   8.3,  32.1,  10.0,  21.5
Lenox,01520000,  95.9,   7.3,  25.1,   8.3,   1.6
Leominster,01530000,  94.6,   9.3,  37.6,  13.6,  31.2
Leverett,01540000,  95.8,   7.3,  28.9,   7.7,   3.5
Lexington,01550000,  96.7,   5.9,  18.2,   4.2,   2.8
Libertas Academy Charter School (District),35140000,  92.8,  11.8,  49.2,  24.3,   2.1
Lincoln,01570000,  95.3,   8.0,  28.6,   9.6,   0.0
Lincoln-Sudbury,06950000,  96.6,   6.0,  15.8,   5.2,   0.4
Littleton,01580000,  96.0,   7.0,  22.5,   5.9,   1.5
Longmeadow,01590000,  96.1,   6.8,  23.4,   5.7,   0.0
Lowell,01600000,  93.6,  10.9,  40.3,  17.1,  28.3
Lowell Community Charter Public (District),04560000,  96.5,   6.4,  20.7,   4.4,   7.6
Lowell Middlesex Academy Charter (District),04580000,  51.1,  76.2,  96.0,  90.1,   0.0
Ludlow,01610000,  95.2,   8.3,  31.1,   9.3,  22.3
