2018-19 Attendance (District)  - All Students,,,,,,
Lunenburg,01620000,  94.9,   9.1,  36.1,  10.4,   2.2
Lynn,01630000,  94.0,  10.1,  38.7,  18.7,   0.0
Lynnfield,01640000,  96.1,   6.9,  23.0,   4.3,   9.7
MATCH Charter Public School (District),04690000,  94.4,  10.0,  38.5,  14.6,  31.5
Ma Academy for Math and Science,04680000,  99.3,   1.2,   1.0,   0.0,   1.0
Malden,01650000,  93.5,  10.8,  35.7,  19.6,  30.0
Manchester Essex Regional,06980000,  95.4,   8.2,  32.1,   7.3,   2.9
Mansfield,01670000,  95.3,   8.1,  25.5,   8.5,  13.0
Map Academy Charter School (District),35170000,  55.2,  63.6,  80.4,  75.9,   1.3
Marblehead,01680000,  95.4,   8.2,  29.2,   7.8,   3.0
Marblehead Community Charter Public (District),04640000,  95.8,   7.6,  24.4,   5.6,   2.6
Marion,01690000,  95.9,   7.1,  24.9,   4.9,  18.6
Marlborough,01700000,  94.1,   9.9,  36.7,  16.5,  23.5
Marshfield,01710000,  96.0,   7.1,  22.0,   5.2,  10.8
Martha's Vineyard,07000000,  93.3,  11.3,  39.0,  15.8,   0.8
Martha's Vineyard Charter (District),04660000,  95.0,   8.7,  37.6,  11.3,  37.6
Martin Luther King Jr. Charter School of Excellence (District),04920000,  95.2,   8.6,  39.8,   5.5,   0.0
Masconomet,07050000,  95.5,   8.0,  25.9,   8.1,   8.4
Mashpee,01720000,  94.7,   9.2,  36.3,  12.3,  13.1
Mattapoisett,01730000,  96.1,   7.0,  23.4,   5.0,  13.8
Maynard,01740000,  91.5,  14.8,  46.9,  20.2,  29.4
Medfield,01750000,  96.3,   6.6,  21.1,   3.5,   5.2
Medford,01760000,  95.0,   8.7,  33.2,  10.8,  26.2
Medway,01770000,  95.8,   7.5,  26.1,   5.7,  17.8
Melrose,01780000,  95.7,   7.5,  26.4,   6.9,  13.7
Mendon-Upton,07100000,  95.7,   7.7,  26.6,   6.4,  15.5
Methuen,01810000,  93.4,  11.4,  40.4,  18.5,   0.0
Middleborough,01820000,  94.8,   9.1,  31.5,  11.4,  21.4
Middleton,01840000,  95.8,   7.4,  28.6,   5.4,  25.0
Milford,01850000,  94.4,   9.5,  34.0,  14.6,  24.6
Millbury,01860000,  95.5,   7.9,  27.9,   7.8,  16.2
Millis,01870000,  96.0,   7.1,  23.9,   5.2,   0.0
Milton,01890000,  96.1,   7.0,  23.8,   4.8,   7.4
Minuteman Regional Vocational Technical,08300000,  94.5,   9.6,  33.2,  13.0,  14.9
Mohawk Trail,07170000,  94.4,   9.8,  40.2,  12.4,  34.1
Monomoy Regional School District,07120000,  95.0,   8.8,  34.3,  10.0,  25.9
Monson,01910000,  95.2,   8.2,  28.2,   9.9,  11.2
Montachusett Regional Vocational Technical,08320000,  95.5,   7.9,  30.7,   8.5,  16.4
Mount Greylock,07150000,  95.4,   8.1,  30.4,   8.6,  14.4
Mystic Valley Regional Charter (District),04700000,  96.6,   6.7,  24.8,   2.9,   3.6
Nahant,01960000,  95.5,   7.8,  32.9,   4.4,   9.5
Nantucket,01970000,  94.5,   9.4,  38.6,  12.9,  10.1
Narragansett,07200000,  95.3,   8.3,  31.6,   8.5,  17.1
Nashoba,07250000,  95.6,   7.7,  27.5,   7.3,   0.0
Nashoba Valley Regional Vocational Technical,08520000,  96.8,   5.7,  16.9,   1.4,   3.2
Natick,01980000,  96.1,   6.9,  22.2,   5.2,   0.4
Nauset,06600000,  94.2,  10.3,  41.7,  13.9,  25.8
Needham,01990000,  96.1,   7.0,  23.0,   5.4,   0.0
Neighborhood House Charter (District),04440000,  94.3,   9.8,  39.1,  15.3,  16.2
New Bedford,02010000,  93.6,  11.0,  43.2,  20.8,  35.2
New Heights Charter School of Brockton (District),35130000,  96.1,   7.8,  26.2,   8.7,   0.7
New Salem-Wendell,07280000,  95.0,   9.3,  34.0,  11.1,   9.2
Newburyport,02040000,  95.7,   7.5,  26.9,   6.7,   0.0
Newton,02070000,  95.5,   7.9,  29.4,   8.6,   1.4
Norfolk,02080000,  96.7,   6.0,  16.1,   2.7,   0.9
Norfolk County Agricultural,09150000,  94.1,  10.4,  41.6,  15.4,  35.5
North Adams,02090000,  94.2,  10.0,  36.6,  15.7,  19.6
North Andover,02110000,  95.1,   8.6,  31.1,   9.6,   4.9
North Attleborough,02120000,  95.3,   8.3,  27.7,   9.5,  16.7
North Brookfield,02150000,  95.2,   8.2,  30.1,   9.9,  30.1
North Middlesex,07350000,  94.6,   9.4,  35.5,  12.1,  26.3
North Reading,02170000,  96.2,   6.7,  21.2,   5.0,   0.3
Northampton,02100000,  94.8,   9.0,  31.1,  12.3,  18.0
Northampton-Smith Vocational Agricultural,04060000,  94.4,   9.8,  35.7,  13.6,  27.1
Northboro-Southboro,07300000,  94.7,   9.3,  34.0,  13.0,   4.1
Northborough,02130000,  96.0,   7.1,  25.6,   6.3,   1.8
Northbridge,02140000,  94.5,   9.6,  35.1,  13.8,  23.2
Northeast Metropolitan Regional Vocational Technical,08530000,  95.4,   8.0,  27.4,   8.8,  20.6
Northern Berkshire Regional Vocational Technical,08510000,  93.8,  10.9,  43.4,  18.3,  42.6
Norton,02180000,  95.2,   8.4,  30.3,   9.6,  18.5
Norwell,02190000,  95.6,   7.7,  27.4,   5.7,  16.1
Norwood,02200000,  95.1,   8.4,  30.0,  11.3,  26.4
Oak Bluffs,02210000,  95.6,   7.5,  29.6,   7.6,   0.8
Old Colony Regional Vocational Technical,08550000,  96.9,   5.4,  15.9,   3.8,   1.4
Old Rochester,07400000,  95.1,   8.6,  30.3,  10.0,  16.3
Old Sturbridge Academy Charter Public School (District),35150000,  95.9,   7.4,  26.2,   4.9,  12.1
Orange,02230000,  94.7,   8.9,  30.2,  14.7,   4.6
Orleans,02240000,  94.0,  10.6,  47.0,  13.2,  24.7
Oxford,02260000,  94.2,   9.9,  33.8,  13.3,   0.9
Palmer,02270000,  94.8,   8.6,  28.9,  12.9,  11.9
Pathfinder Regional Vocational Technical,08600000,  97.1,   5.2,  14.0,   2.2,  13.8
Paulo Freire Social Justice Charter School (District),35010000,  86.4,  22.1,  69.4,  51.8,   2.6
Peabody,02290000,  93.8,  10.6,  40.3,  17.6,  38.9
Pelham,02300000,  96.4,   6.4,  23.0,   2.2,   0.0
Pembroke,02310000,  94.8,   9.1,  35.5,   9.8,  15.6
Pentucket,07450000,  95.3,   8.2,  30.4,   8.6,   2.5
Petersham,02340000,  99.3,   1.3,   0.0,   0.0,   0.0
Phoenix Academy Public Charter High School Lawrence (District),35180000,  40.6,  83.1,  95.2,  97.0,  48.8
Phoenix Academy Public Charter High School Springfield (District),35080000,  50.6,  65.1,  95.2,  95.6,  51.2
Phoenix Charter Academy (District),04930000,  53.6,  65.2,  91.5,  92.3,  48.4
Pioneer Charter School of Science (District),04940000,  96.9,   6.0,  20.0,   2.2,   1.0
Pioneer Charter School of Science II (PCSS-II) (District),35060000,  97.8,   4.2,   9.2,   0.5,   0.0
Pioneer Valley,07500000,  95.9,   7.0,  25.6,   5.1,   6.8
Pioneer Valley Chinese Immersion Charter (District),04970000,  95.9,   7.1,  26.1,   7.8,   3.0
Pioneer Valley Performing Arts Charter Public (District),04790000,  91.7,  14.5,  57.1,  27.1,  13.3
Pittsfield,02360000,  92.6,  12.9,  46.0,  24.4,  28.6
Plainville,02380000,  95.6,   7.7,  28.5,   8.1,   5.9
Plymouth,02390000,  95.1,   8.5,  32.5,   9.7,  20.5
Plympton,02400000,  95.2,   8.4,  34.4,   8.0,  31.1
Prospect Hill Academy Charter (District),04870000,  95.7,   7.5,  28.6,   8.5,   2.1
Provincetown,02420000,  94.0,   9.9,  41.0,  15.8,  13.7
Quabbin,07530000,  95.0,   8.7,  30.3,  11.4,  10.1
Quaboag Regional,07780000,  94.3,   9.9,  38.5,  13.0,  16.2
Quincy,02430000,  95.3,   8.1,  30.8,  11.6,  24.7
Ralph C Mahar,07550000,  95.7,   7.3,  27.4,  11.9,   0.9
Randolph,02440000,  93.9,  10.2,  37.2,  19.0,  28.4
Reading,02460000,  96.2,   6.6,  19.8,   4.9,   0.1
Revere,02480000,  94.9,   8.8,  32.5,  11.1,  23.0
Richmond,02490000,  95.5,   7.8,  31.9,  10.3,   0.0
Rising Tide Charter Public (District),04830000,  95.7,   7.4,  25.9,   5.2,   8.8
River Valley Charter (District),04820000,  95.7,   7.7,  29.7,   4.4,  26.3
Rochester,02500000,  96.1,   7.0,  28.6,   2.1,   3.2
Rockland,02510000,  94.8,   9.0,  33.8,  11.7,  24.9
Rockport,02520000,  93.5,  11.3,  41.1,  17.9,  16.8
Rowe,02530000,  94.3,  10.2,  51.5,  10.6,   0.0
Roxbury Preparatory Charter (District),04840000,  92.7,  12.8,  52.0,  23.9,  22.6
Sabis International Charter (District),04410000,  95.2,   8.8,  33.0,   9.6,  16.5
Salem,02580000,  91.9,  13.8,  47.5,  25.1,  31.2
Salem Academy Charter (District),04850000,  95.6,   8.3,  33.4,   7.3,  10.1
Sandwich,02610000,  95.9,   7.4,  26.9,   7.8,   6.1
Saugus,02620000,  94.1,  10.5,  41.6,  15.6,  21.0
Savoy,02630000,  94.2,  10.0,  48.4,  14.1,  12.5
Scituate,02640000,  95.0,   8.9,  33.2,   9.1,  11.7
Seekonk,02650000,  96.1,   6.8,  22.8,   5.7,   1.9
Seven Hills Charter Public (District),04860000,  95.1,   8.5,  33.1,  11.2,  24.7
Sharon,02660000,  95.9,   7.2,  25.9,   6.7,   4.7
Shawsheen Valley Regional Vocational Technical,08710000,  96.2,   6.7,  21.7,   6.7,  12.2
Sherborn,02690000,  96.7,   5.9,  20.2,   1.9,  20.2
Shrewsbury,02710000,  94.5,   9.6,  42.5,  12.5,   0.3
Shutesbury,02720000,  94.2,  10.1,  43.9,  12.1,   0.8
Silver Lake,07600000,  95.2,   8.3,  32.2,  10.7,   7.6
Sizer School: A North Central Charter Essential (District),04740000,  93.1,  11.9,  48.9,  21.3,  14.2
Somerset,02730000,  95.8,   7.4,  26.1,   6.7,  13.5
Somerset Berkley Regional School District,07630000,  94.5,   9.5,  32.9,  11.9,  10.5
Somerville,02740000,  94.2,  10.3,  38.0,  14.3,  33.2
South Hadley,02780000,  94.2,  10.2,  38.8,  15.7,   2.8
South Middlesex Regional Vocational Technical,08290000,  94.2,  10.1,  41.5,  14.7,  18.3
South Shore Charter Public (District),04880000,  95.2,   8.6,  30.8,   8.7,  23.2
South Shore Regional Vocational Technical,08730000,  94.9,   8.8,  29.8,  10.0,  17.5
Southampton,02750000,  96.1,   6.7,  22.5,   5.0,   0.0
Southborough,02760000,  96.1,   6.9,  23.6,   5.3,   1.8
Southbridge,02770000,  90.2,  16.5,  59.0,  32.5,  47.2
Southeastern Regional Vocational Technical,08720000,  96.0,   7.0,  24.9,   7.8,   9.2
Southern Berkshire,07650000,  94.2,  10.1,  40.1,  15.4,  24.4
Southern Worcester County Regional Vocational Technical,08760000,  95.5,   7.9,  27.1,   7.9,  12.8
Southwick-Tolland-Granville Regional School District,07660000,  94.7,   9.3,  37.7,  11.0,  25.2
Spencer-E Brookfield,07670000,  94.9,   8.7,  32.2,  13.2,   0.4
Springfield,02810000,  92.7,  12.2,  46.1,  23.0,  25.6
Springfield Preparatory Charter School (District),35100000,  95.4,   8.2,  35.4,   6.4,  18.9
Stoneham,02840000,  95.1,   8.5,  31.1,   9.5,   0.0
Stoughton,02850000,  95.9,   7.1,  24.1,   7.5,   0.0
Sturbridge,02870000,  96.1,   6.8,  24.3,   4.6,  24.2
Sturgis Charter Public (District),04890000,  94.5,   9.7,  39.9,  12.9,  31.5
Sudbury,02880000,  96.5,   6.2,  19.4,   3.9,   2.0
Sunderland,02890000,  95.7,   7.5,  29.6,   5.4,  20.8
Sutton,02900000,  95.8,   7.5,  27.6,   6.3,   4.7
Swampscott,02910000,  94.7,   9.4,  35.8,  11.5,  28.3
Swansea,02920000,  94.6,   9.5,  36.1,  11.7,  21.4
TEC Connections Academy Commonwealth Virtual School District,39020000,  89.3,  15.0,  36.9,  34.1,  23.5
Tantasqua,07700000,  94.4,   9.8,  35.0,  13.9,   0.0
Taunton,02930000,  93.9,  10.5,  38.3,  15.4,  29.9
Tewksbury,02950000,  96.3,   6.5,  21.8,   6.0,  13.6
Tisbury,02960000,  94.1,  10.1,  41.7,  18.8,   0.0
Topsfield,02980000,  96.4,   6.5,  21.3,   3.3,  21.1
Tri-County Regional Vocational Technical,08780000,  94.3,  10.2,  39.1,  14.1,   0.0
Triton,07730000,  94.7,   9.1,  34.0,  13.0,  23.9
Truro,03000000,  92.0,  14.2,  65.5,  26.5,  65.5
Tyngsborough,03010000,  94.8,   9.1,  35.1,  10.6,   0.0
UP Academy Charter School of Boston (District),04800000,  92.7,  12.8,  49.8,  24.4,  40.4
UP Academy Charter School of Dorchester (District),35050000,  94.3,  10.3,  43.9,  15.0,  35.6
Up-Island Regional,07740000,  94.1,  10.2,  45.9,  12.5,  22.1
Upper Cape Cod Regional Vocational Technical,08790000,  94.5,   9.7,  34.1,  11.9,  15.2
Uxbridge,03040000,  94.4,   9.4,  36.0,  13.0,  13.5
Veritas Preparatory Charter School (District),04980000,  94.5,   9.7,  39.8,  16.2,  30.4
Wachusett,07750000,  95.8,   7.4,  25.7,   6.1,   0.0
Wakefield,03050000,  95.6,   7.8,  27.9,   8.0,   0.0
Wales,03060000,  95.7,   7.4,  26.9,   9.6,  26.9
Walpole,03070000,  95.5,   8.0,  27.0,   7.1,  14.4
Waltham,03080000,  94.7,   9.0,  30.8,  14.0,  25.3
Ware,03090000,  93.9,  10.3,  39.5,  17.0,  16.8
Wareham,03100000,  94.1,  10.0,  39.6,  16.3,   0.0
Watertown,03140000,  94.8,   9.2,  32.7,  11.6,  12.6
Wayland,03150000,  97.4,   4.6,  14.3,   2.5,   0.2
Webster,03160000,  92.6,  12.3,  44.9,  25.4,   0.1
Wellesley,03170000,  96.2,   6.7,  21.4,   5.6,   0.2
Wellfleet,03180000,  92.6,  12.5,  51.8,  22.7,  14.5
West Boylston,03220000,  95.7,   7.6,  28.1,   7.9,  26.7
West Bridgewater,03230000,  95.5,   7.8,  27.7,   6.8,  16.0
West Springfield,03320000,  94.8,   8.9,  33.5,  13.1,   1.1
Westborough,03210000,  95.9,   7.0,  23.4,   7.7,   0.0
Westfield,03250000,  93.8,  10.7,  39.7,  16.7,  12.5
Westford,03260000,  96.4,   6.4,  20.4,   4.5,   0.2
Westhampton,03270000,  95.4,   8.0,  33.9,   7.1,   0.0
Weston,03300000,  96.4,   6.3,  20.0,   4.8,   0.0
Westport,03310000,  94.8,   9.1,  34.7,  12.1,  19.0
Westwood,03350000,  96.3,   6.6,  21.5,   4.3,   7.4
Weymouth,03360000,  94.1,  10.1,  34.8,  14.7,  26.0
Whately,03370000,  95.4,   8.0,  31.2,   5.7,  22.7
Whitman-Hanson,07800000,  94.6,   9.5,  36.9,  12.0,   1.7
Whittier Regional Vocational Technical,08850000,  96.0,   7.0,  12.6,   4.8,   9.1
Williamsburg,03400000,  95.0,   8.8,  35.3,  11.1,   0.0
Wilmington,03420000,  95.8,   7.4,  25.3,   6.4,   9.3
Winchendon,03430000,  93.3,  11.5,  44.0,  18.4,  31.6
Winchester,03440000,  95.9,   7.3,  25.0,   5.5,  13.1
Winthrop,03460000,  94.6,   9.4,  36.8,  13.1,  12.7
Woburn,03470000,  95.2,   8.3,  29.5,  10.3,  24.4
Worcester,03480000,  94.4,   9.5,  35.5,  15.3,  32.7
Worthington,03490000,  95.5,   7.6,  33.8,   7.5,   0.0
Wrentham,03500000,  95.3,   7.9,  29.4,   6.9,   0.1
State Totals,00000000,  94.6,   9.6,  34.5,  12.9,  16.7
